,customer_id,sentiment
0,845152,-1
1,306890,-1
2,467142,-1
3,514226,-1
4,560518,-1
5,146097,-1
6,464459,-1
7,810343,-1
8,43789,-1
9,184900,-1
10,512201,-1
11,637635,-1
12,824637,-1
13,838617,-1
14,647399,-1
15,259069,-1
16,324033,-1
17,466739,-1
18,767625,-1
19,417911,-1
20,176412,-1
21,648354,-1
22,765060,-1
23,12039,-1
24,62112,-1
25,186120,-1
26,199469,-1
27,264835,-1
28,103976,-1
29,369132,-1
30,630656,-1
31,122037,-1
32,554669,-1
33,481750,-1
34,653243,-1
35,732376,-1
36,636814,-1
37,139434,-1
38,64154,-1
39,114823,-1
40,366114,-1
41,126339,-1
42,584765,-1
43,552159,-1
44,852229,-1
45,376929,-1
46,428394,-1
47,28402,-1
48,102675,-1
49,595044,-1
50,752295,-1
51,303912,-1
52,340764,-1
53,422712,-1
54,542079,-1
55,359727,-1
56,802486,-1
57,617532,-1
58,613937,-1
59,839700,-1
60,442320,-1
61,549906,-1
62,371809,-1
63,459215,-1
64,693277,-1
65,291383,-1
66,14910,-1
67,27805,-1
68,429741,-1
69,265943,-1
70,488782,-1
71,217740,-1
72,26036,-1
73,894946,-1
74,516325,-1
75,395693,-1
76,246796,-1
77,133711,-1
78,15838,-1
79,685291,-1
80,283489,-1
81,711536,-1
82,738776,-1
83,599034,-1
84,324666,-1
85,674492,-1
86,16453,-1
87,698782,-1
88,30380,-1
89,132604,-1
90,290105,-1
91,623318,-1
92,445600,-1
93,569560,-1
94,492417,-1
95,682264,-1
96,416471,-1
97,369301,-1
98,502850,-1
99,5794,-1
100,87141,-1
101,460740,-1
102,441370,-1
103,626039,-1
104,612498,-1
105,563016,-1
106,56468,-1
107,553626,-1
108,22546,-1
109,208581,-1
110,692779,-1
111,484883,-1
112,702706,-1
113,360233,-1
114,38190,-1
115,412345,-1
116,697081,-1
117,27035,-1
118,565236,-1
119,150695,-1
120,593610,-1
121,567825,-1
